               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.029926,           0.0081719,                   0,             0.99967,                   1,               0.995,             0.64949,            0.027624,           0.0036888,                   0,           0.0098885,           0.0098885,           0.0098885
                  73,            0.029389,           0.0089302,                   0,              0.9998,                   1,               0.995,             0.73503,            0.023619,           0.0035172,                   0,           0.0098854,           0.0098854,           0.0098854
                  74,            0.031894,           0.0069151,                   0,             0.99989,                   1,               0.995,             0.72321,            0.029816,           0.0035287,                   0,           0.0098822,           0.0098822,           0.0098822
                  75,            0.029685,           0.0074404,                   0,             0.99983,                   1,               0.995,              0.6311,            0.026999,           0.0033313,                   0,           0.0098789,           0.0098789,           0.0098789
                  76,            0.028328,           0.0071852,                   0,             0.99988,                   1,               0.995,             0.78435,            0.019075,           0.0031541,                   0,           0.0098757,           0.0098757,           0.0098757
                  77,            0.025196,           0.0083029,                   0,             0.99973,                   1,               0.995,             0.44898,            0.037227,           0.0037526,                   0,           0.0098723,           0.0098723,           0.0098723
                  78,            0.034145,           0.0091747,                   0,             0.79976,             0.99881,               0.945,             0.49546,            0.027969,           0.0047183,                   0,            0.009869,            0.009869,            0.009869
                  79,            0.032804,            0.010025,                   0,             0.49966,                0.75,             0.46341,              0.3276,            0.026084,           0.0066147,                   0,           0.0098656,           0.0098656,           0.0098656
                  80,            0.025692,            0.011505,                   0,             0.49828,                0.75,             0.54591,             0.39552,            0.022412,           0.0075786,                   0,           0.0098621,           0.0098621,           0.0098621
                  81,            0.029521,            0.010102,                   0,             0.79724,                   1,               0.895,             0.78079,            0.023137,           0.0058388,                   0,           0.0098586,           0.0098586,           0.0098586
                  82,            0.022894,           0.0096362,                   0,             0.99997,                   1,               0.995,             0.79662,            0.019998,           0.0040807,                   0,           0.0098551,           0.0098551,           0.0098551
                  83,            0.023003,            0.008733,                   0,             0.99982,                   1,               0.995,             0.62297,            0.017718,           0.0038178,                   0,           0.0098515,           0.0098515,           0.0098515
                  84,            0.019937,           0.0088213,                   0,             0.99993,                   1,               0.995,             0.64804,            0.021598,           0.0035605,                   0,           0.0098479,           0.0098479,           0.0098479
                  85,            0.025062,           0.0090106,                   0,             0.99997,                   1,               0.995,             0.84703,            0.020639,           0.0034682,                   0,           0.0098442,           0.0098442,           0.0098442
                  86,            0.023873,             0.00748,                   0,             0.99937,                   1,               0.995,             0.74181,            0.021905,           0.0034901,                   0,           0.0098405,           0.0098405,           0.0098405
                  87,            0.022649,           0.0076787,                   0,             0.99964,                   1,               0.995,              0.8955,            0.017259,           0.0032934,                   0,           0.0098368,           0.0098368,           0.0098368
                  88,            0.025916,           0.0072054,                   0,             0.79985,                   1,               0.845,             0.51863,            0.025454,           0.0034024,                   0,            0.009833,            0.009833,            0.009833
                  89,            0.026725,           0.0086087,                   0,              0.9991,                   1,               0.995,             0.80891,            0.021559,           0.0035908,                   0,           0.0098291,           0.0098291,           0.0098291
                  90,            0.026941,           0.0071504,                   0,             0.99971,                   1,               0.995,             0.74225,            0.020122,           0.0035649,                   0,           0.0098252,           0.0098252,           0.0098252
                  91,            0.024235,           0.0086915,                   0,             0.99894,                   1,               0.995,               0.804,             0.02268,            0.003749,                   0,           0.0098213,           0.0098213,           0.0098213
                  92,            0.030055,           0.0074901,                   0,             0.99962,                   1,               0.995,             0.74913,            0.022124,           0.0034623,                   0,           0.0098174,           0.0098174,           0.0098174
                  93,            0.026186,           0.0080928,                   0,             0.99911,                   1,               0.995,             0.87194,            0.023123,           0.0032948,                   0,           0.0098133,           0.0098133,           0.0098133
                  94,             0.02907,           0.0058819,                   0,                   1,             0.99955,               0.995,             0.58777,            0.023917,           0.0035391,                   0,           0.0098093,           0.0098093,           0.0098093
                  95,            0.026614,           0.0083132,                   0,                   1,             0.99939,               0.995,             0.81758,            0.019482,           0.0037378,                   0,           0.0098052,           0.0098052,           0.0098052
                  96,            0.024051,            0.008449,                   0,                   1,              0.9997,               0.995,              0.7748,            0.018321,           0.0041051,                   0,           0.0098011,           0.0098011,           0.0098011
                  97,            0.028091,           0.0079643,                   0,             0.79973,                   1,               0.945,             0.65501,            0.019927,           0.0046362,                   0,           0.0097969,           0.0097969,           0.0097969
                  98,            0.022252,           0.0066703,                   0,             0.79999,             0.99994,               0.945,             0.74359,            0.016272,           0.0049172,                   0,           0.0097927,           0.0097927,           0.0097927
                  99,             0.02668,           0.0065705,                   0,                   1,             0.99908,               0.995,             0.61261,             0.02285,           0.0040736,                   0,           0.0097884,           0.0097884,           0.0097884
                 100,            0.028057,           0.0062816,                   0,             0.99892,                   1,               0.995,             0.61506,            0.030257,           0.0040226,                   0,           0.0097841,           0.0097841,           0.0097841
                 101,            0.027527,           0.0067268,                   0,             0.99922,                   1,               0.995,             0.61327,            0.022888,           0.0040806,                   0,           0.0097798,           0.0097798,           0.0097798
                 102,            0.023452,           0.0081593,                   0,             0.99993,                   1,               0.995,             0.69263,            0.022318,           0.0036816,                   0,           0.0097754,           0.0097754,           0.0097754
                 103,            0.021012,           0.0075958,                   0,             0.99981,                   1,               0.995,             0.79395,            0.016509,            0.003538,                   0,           0.0097709,           0.0097709,           0.0097709
                 104,            0.021981,            0.006199,                   0,             0.99917,                   1,               0.995,             0.72518,            0.023761,           0.0034027,                   0,           0.0097665,           0.0097665,           0.0097665
                 105,            0.025681,           0.0061924,                   0,                   1,             0.99994,               0.995,             0.80011,            0.018605,           0.0054426,                   0,           0.0097619,           0.0097619,           0.0097619
                 106,            0.026558,           0.0056217,                   0,             0.79955,                   1,               0.945,             0.73255,            0.020029,           0.0072521,                   0,           0.0097574,           0.0097574,           0.0097574
                 107,            0.021881,           0.0069389,                   0,             0.99981,                   1,               0.995,             0.78631,            0.021069,           0.0043948,                   0,           0.0097528,           0.0097528,           0.0097528
                 108,            0.024116,           0.0062316,                   0,             0.99981,                   1,               0.995,             0.80934,            0.017701,           0.0036069,                   0,           0.0097481,           0.0097481,           0.0097481
                 109,            0.024035,           0.0077537,                   0,             0.99963,                   1,               0.995,             0.66957,            0.023784,              0.0034,                   0,           0.0097435,           0.0097435,           0.0097435
                 110,            0.025263,           0.0061286,                   0,             0.99993,                   1,               0.995,             0.84802,            0.020608,           0.0034844,                   0,           0.0097387,           0.0097387,           0.0097387
                 111,             0.02494,           0.0066135,                   0,             0.99976,                   1,               0.995,             0.87323,            0.017913,           0.0036219,                   0,            0.009734,            0.009734,            0.009734
                 112,            0.021403,            0.006786,                   0,             0.99991,                   1,               0.995,              0.8955,             0.01473,           0.0039626,                   0,           0.0097292,           0.0097292,           0.0097292
                 113,            0.022472,           0.0060082,                   0,                   1,             0.99968,               0.995,             0.72208,            0.021482,            0.003802,                   0,           0.0097243,           0.0097243,           0.0097243
                 114,            0.023224,           0.0057504,                   0,                   1,             0.99975,               0.995,             0.70578,            0.017645,           0.0029764,                   0,           0.0097194,           0.0097194,           0.0097194
                 115,            0.026068,           0.0056657,                   0,             0.99972,                   1,               0.995,             0.84688,            0.018959,           0.0029518,                   0,           0.0097145,           0.0097145,           0.0097145
                 116,            0.022602,           0.0069542,                   0,             0.99978,                   1,               0.995,             0.81481,            0.016498,            0.002859,                   0,           0.0097095,           0.0097095,           0.0097095
                 117,            0.020404,           0.0054882,                   0,                   1,             0.99977,               0.995,              0.7229,             0.01871,             0.00294,                   0,           0.0097045,           0.0097045,           0.0097045
                 118,            0.020405,            0.006097,                   0,             0.99975,                   1,               0.995,             0.86804,             0.01622,           0.0031973,                   0,           0.0096994,           0.0096994,           0.0096994
                 119,            0.022583,            0.006217,                   0,              0.9998,                   1,               0.995,              0.8103,            0.013094,            0.003372,                   0,           0.0096943,           0.0096943,           0.0096943
                 120,            0.023752,           0.0058797,                   0,             0.99979,                   1,               0.995,             0.67376,            0.028532,           0.0033932,                   0,           0.0096892,           0.0096892,           0.0096892
                 121,            0.024424,           0.0063353,                   0,             0.99969,                   1,               0.995,             0.86678,            0.014485,           0.0032162,                   0,            0.009684,            0.009684,            0.009684
                 122,            0.023538,            0.005649,                   0,                   1,             0.99982,               0.995,             0.58813,            0.021943,           0.0030948,                   0,           0.0096788,           0.0096788,           0.0096788
                 123,            0.022066,           0.0056514,                   0,             0.99997,                   1,               0.995,             0.79003,             0.01456,           0.0028515,                   0,           0.0096735,           0.0096735,           0.0096735
                 124,            0.024859,           0.0062414,                   0,                   1,             0.99995,               0.995,             0.80543,            0.017617,           0.0026068,                   0,           0.0096682,           0.0096682,           0.0096682
                 125,            0.023138,           0.0062261,                   0,             0.99997,                   1,               0.995,             0.76665,            0.018824,           0.0026999,                   0,           0.0096628,           0.0096628,           0.0096628
                 126,            0.020914,           0.0052451,                   0,             0.99992,                   1,               0.995,             0.85293,            0.016381,              0.0025,                   0,           0.0096575,           0.0096575,           0.0096575
                 127,            0.019302,           0.0063272,                   0,             0.99998,                   1,               0.995,             0.86033,            0.013238,           0.0023472,                   0,            0.009652,            0.009652,            0.009652
                 128,            0.020274,           0.0062343,                   0,             0.99997,                   1,               0.995,             0.84786,            0.014298,           0.0023577,                   0,           0.0096466,           0.0096466,           0.0096466
                 129,            0.027962,           0.0060918,                   0,             0.99988,                   1,               0.995,             0.66205,             0.02171,           0.0026024,                   0,            0.009641,            0.009641,            0.009641
                 130,            0.027213,           0.0054756,                   0,                   1,             0.99989,               0.995,             0.77996,              0.0159,           0.0028079,                   0,           0.0096355,           0.0096355,           0.0096355
                 131,            0.024312,           0.0061157,                   0,             0.99998,                   1,               0.995,             0.82421,            0.014371,           0.0028999,                   0,           0.0096299,           0.0096299,           0.0096299
                 132,            0.017137,           0.0058378,                   0,             0.99986,                   1,               0.995,             0.77384,            0.018164,           0.0028748,                   0,           0.0096243,           0.0096243,           0.0096243
                 133,            0.023011,           0.0049444,                   0,             0.99989,                   1,               0.995,             0.84327,             0.01611,           0.0028246,                   0,           0.0096186,           0.0096186,           0.0096186
                 134,            0.020762,           0.0060788,                   0,             0.99986,                   1,               0.995,             0.60236,            0.021969,           0.0030624,                   0,           0.0096129,           0.0096129,           0.0096129
                 135,            0.023337,           0.0054325,                   0,             0.99996,                   1,               0.995,             0.64809,            0.016926,           0.0028827,                   0,           0.0096071,           0.0096071,           0.0096071
                 136,            0.022618,           0.0062477,                   0,                   1,             0.99976,               0.995,             0.79825,            0.021755,           0.0028338,                   0,           0.0096013,           0.0096013,           0.0096013
                 137,             0.02282,           0.0061664,                   0,             0.99992,                   1,               0.995,             0.86762,            0.012035,           0.0027127,                   0,           0.0095955,           0.0095955,           0.0095955
                 138,            0.022956,           0.0075301,                   0,             0.99988,                   1,               0.995,              0.7861,            0.017369,            0.002769,                   0,           0.0095896,           0.0095896,           0.0095896
                 139,            0.021592,           0.0061887,                   0,             0.99984,                   1,               0.995,             0.68708,            0.015224,           0.0029925,                   0,           0.0095837,           0.0095837,           0.0095837
                 140,            0.021518,           0.0059797,                   0,             0.99989,                   1,               0.995,              0.7871,             0.01873,           0.0028761,                   0,           0.0095777,           0.0095777,           0.0095777
                 141,            0.019527,           0.0060037,                   0,             0.99987,                   1,               0.995,             0.69391,            0.018333,           0.0028073,                   0,           0.0095717,           0.0095717,           0.0095717
                 142,            0.020688,            0.005292,                   0,             0.99984,                   1,               0.995,              0.7122,            0.014634,           0.0026089,                   0,           0.0095657,           0.0095657,           0.0095657
                 143,            0.020542,           0.0055785,                   0,             0.99997,                   1,               0.995,             0.66695,            0.016315,           0.0026135,                   0,           0.0095596,           0.0095596,           0.0095596
                 144,            0.018057,           0.0053984,                   0,             0.99981,                   1,               0.995,             0.86587,            0.015427,           0.0025617,                   0,           0.0095535,           0.0095535,           0.0095535
                 145,            0.018261,           0.0054814,                   0,             0.99996,                   1,               0.995,              0.8955,            0.013036,           0.0026703,                   0,           0.0095473,           0.0095473,           0.0095473
                 146,            0.017234,           0.0048838,                   0,             0.99991,                   1,               0.995,             0.74736,            0.021092,           0.0030694,                   0,           0.0095411,           0.0095411,           0.0095411
                 147,            0.023257,            0.004969,                   0,              0.9998,                   1,               0.995,             0.70943,            0.017326,           0.0030057,                   0,           0.0095349,           0.0095349,           0.0095349
                 148,            0.021586,           0.0055184,                   0,             0.99993,                   1,               0.995,             0.69627,            0.017241,           0.0029955,                   0,           0.0095286,           0.0095286,           0.0095286
                 149,            0.020489,            0.006026,                   0,             0.99982,                   1,               0.995,             0.86135,            0.013773,           0.0029695,                   0,           0.0095223,           0.0095223,           0.0095223
                 150,            0.020681,           0.0049553,                   0,             0.99977,                   1,               0.995,             0.79885,            0.016827,           0.0030031,                   0,           0.0095159,           0.0095159,           0.0095159
                 151,            0.020624,           0.0060448,                   0,             0.99993,                   1,               0.995,             0.85365,            0.014268,           0.0029882,                   0,           0.0095095,           0.0095095,           0.0095095
                 152,            0.020355,           0.0053676,                   0,             0.99985,                   1,               0.995,             0.78355,            0.018315,           0.0028583,                   0,           0.0095031,           0.0095031,           0.0095031
                 153,            0.017208,           0.0049408,                   0,              0.9999,                   1,               0.995,             0.92365,            0.012107,           0.0024438,                   0,           0.0094966,           0.0094966,           0.0094966
                 154,            0.017258,           0.0045968,                   0,                   1,                   1,               0.995,             0.77101,            0.013953,           0.0025447,                   0,           0.0094901,           0.0094901,           0.0094901
                 155,             0.01672,           0.0042832,                   0,             0.99978,                   1,               0.995,             0.69333,            0.017089,           0.0027722,                   0,           0.0094835,           0.0094835,           0.0094835
                 156,            0.022987,           0.0046783,                   0,             0.99947,                   1,               0.995,              0.6821,            0.020739,           0.0027568,                   0,           0.0094769,           0.0094769,           0.0094769
                 157,            0.025093,           0.0052126,                   0,                   1,             0.99841,               0.995,             0.85332,            0.017172,           0.0028346,                   0,           0.0094703,           0.0094703,           0.0094703
                 158,            0.018297,           0.0050687,                   0,             0.99961,                   1,               0.995,             0.85956,            0.014609,           0.0029936,                   0,           0.0094636,           0.0094636,           0.0094636
                 159,             0.01878,           0.0057302,                   0,             0.99956,                   1,               0.995,             0.82181,            0.015229,           0.0031096,                   0,           0.0094569,           0.0094569,           0.0094569
                 160,             0.01784,           0.0045704,                   0,             0.99981,                   1,               0.995,             0.83017,             0.01244,           0.0031194,                   0,           0.0094502,           0.0094502,           0.0094502
                 161,            0.018117,           0.0051646,                   0,             0.99989,                   1,               0.995,               0.796,            0.015718,           0.0032684,                   0,           0.0094434,           0.0094434,           0.0094434
                 162,            0.020844,           0.0047143,                   0,             0.99935,                   1,               0.995,             0.76246,            0.015412,           0.0032477,                   0,           0.0094365,           0.0094365,           0.0094365
                 163,            0.019506,           0.0055022,                   0,             0.99985,                   1,               0.995,             0.81117,            0.014136,           0.0032729,                   0,           0.0094297,           0.0094297,           0.0094297
                 164,             0.01715,           0.0050068,                   0,                   1,             0.99941,               0.995,             0.79885,            0.015653,           0.0033239,                   0,           0.0094228,           0.0094228,           0.0094228
                 165,            0.020878,           0.0053879,                   0,             0.99979,                   1,               0.995,             0.82307,            0.013319,           0.0032925,                   0,           0.0094158,           0.0094158,           0.0094158
